mean_x,std_x,mean_y,std_y,mean_z,std_z,median_x,median_y,median_z,rms_x,rms_y,rms_z,Activity,window_size,extra_cols,classifier,accuracy
-10.16305832261622,3.4094259146192862,-2.87163703890598,2.414203210625621,2.5776463578961,2.474372214761048,-9.6189975,-2.45190125,2.2118006,10.71969866816117,3.751623172096548,3.5730629162605747,1.0,,,,
-10.13702709530622,3.424979836013476,-2.83902908754618,2.436514902631683,2.64547247224982,2.488312585849095,-9.607621,-2.43992615,2.3022126,10.699990897569556,3.741215181018004,3.6318348153965623,1.0,,,,
-9.96791896030262,3.606980934996248,-2.8239300448918803,2.5344515572236137,2.79111684357833,2.616469968771713,-9.541758,-2.45070375,2.38364325,10.600458474263595,3.794473032498222,3.8257350054585473,1.0,,,,
-8.39657718407058,7.373362698338791,-4.634496674026249,3.683134342136446,2.50731780491751,2.401224310011032,-9.957294,-4.077521,2.2465284,11.174479222286314,5.9198005037150745,3.471674057546923,1.0,,,,
-9.7324726169904,6.1762030050688175,-4.049961382746281,3.532918729075232,2.42122200241438,2.194047595180121,-10.2261345,-3.424878,2.1363573,11.526773477443244,5.37435595657626,3.267439492154548,1.0,,,,
-10.8077354364135,4.561806521724946,-3.53316287031582,3.396431988655402,2.3618903035576304,2.047067012060033,-10.585986,-3.0075458,2.0507354500000003,11.731036783045235,4.9009172735050335,3.125541418363216,1.0,,,,
-10.7154513839835,4.607043365977849,-3.2570276558838205,3.418327179473714,2.3519558828433,2.049947659512667,-10.512339,-2.8297156,2.010619,11.663865008585894,4.7215664622157725,3.1199329931238378,1.0,,,,
-10.6253108728735,4.674059619635452,-2.99994194910233,3.444607870505746,2.33079313016346,2.073056907820888,-10.4877905,-2.6752367,1.9627185,11.60793110218658,4.5678195103937735,3.119320688656599,1.0,,,,
-10.91019533157,3.6606694151210513,-2.6407765571412103,3.318115205223448,2.3765768018389104,1.9538104152575944,-10.4237235,-2.4495062,1.9543359,11.507947807485682,4.240706231264037,3.0766040424155845,1.0,,,,
-10.490664550196,3.632534247759778,-2.4909134800206405,3.2124799290551582,2.37773826644708,1.991935646010012,-10.0536935,-2.31179265,1.959126,11.101772280401304,4.065055628097944,3.101845721755369,1.0,,,,
-9.71655891122,3.5389657073812164,-2.75510329413454,3.223140690538937,2.49534630011992,2.0624787535985694,-9.619596,-2.454895,2.03157525,10.34097651835788,4.24019222115682,3.237371119684563,1.0,,,,
-9.0801042653,3.33042505495199,-3.02377478751184,3.3058295000753355,2.49388521853341,2.0308703399952006,-9.26154,-2.58961485,2.071692,9.671609199888673,4.48014761466189,3.2161930634045675,1.0,,,,
-8.52213405022,3.187162114840497,-3.2968565901366405,3.4014864571958574,2.52517986154592,2.045256700422947,-8.5753675,-2.7572662,2.1363573,9.098613691996912,4.737021584752831,3.2495550932061503,1.0,,,,
-8.19509365501,3.210925357374366,-3.66272911495464,3.585579853940351,2.65959662049923,2.0738029042289345,-8.067024,-3.1422656,2.3459215,8.801681752086635,5.125618739090853,3.3725528415963013,1.0,,,,
-7.851640787739999,3.2268710446410167,-4.23348298716641,3.6499392509298887,2.7418823071122804,2.1254061500668526,-7.5317375,-3.9320233,2.5099804,8.488872704808632,5.589672149429345,3.4691886499291678,1.0,,,,
-7.53522338184,3.0975879254208727,-4.79339855726387,3.598855162048249,2.74157742127023,2.1287755439983003,-7.21739135,-4.63376405,2.57165225,8.147063420026964,5.994032716475668,3.471013119183502,1.0,,,,
-7.366389593041001,3.247874426499493,-5.29682783011047,3.528508008192261,2.74030901877158,2.163934430294127,-6.970105650000001,-5.2163525,2.6105714,8.050613885088028,6.364491639220662,3.491690956681766,1.0,,,,
-7.471348211520999,3.298061455733841,-5.546115593681431,3.363530727851748,2.77114800957033,2.13478896534809,-7.159312,-5.4241204,2.6704469,8.16689986859122,6.486350062683884,3.498083077560848,1.0,,,,
-7.263823602565,3.8920866774291913,-5.86538475110789,3.1154264210524696,2.76421359032969,2.110984777602513,-7.180269,-5.607938300000001,2.692002,8.24084170663423,6.641432079267299,3.478093371983116,1.0,,,,
-7.476486129379,4.032433425347415,-5.91753666018176,2.974913992456262,2.78827671107048,2.048547846184181,-7.36887625,-5.58817935,2.7327173,8.494607946965868,6.623243418983418,3.4599183943561247,1.0,,,,
-8.221674781619999,4.700659458424153,-5.65881168010796,3.3051562243670185,2.64543690784381,2.0099724623765285,-7.877219,-5.407954,2.618954,9.470593199942584,6.553335585669204,3.3223975880219667,1.0,,,,
-8.76840038103,4.899856776830733,-5.368373529147659,3.39307193010334,2.62712207351937,1.963299529673477,-8.309521,-5.2091675,2.5608746,10.044572747285027,6.350777233639085,3.279682215152683,1.0,,,,
-9.20909068111,4.930149124886701,-5.06068872359976,3.407811516676847,2.60811579676524,1.9121474300582584,-8.7041,-4.9576902,2.51536925,10.445751364383902,6.101126919706319,3.233972140203868,1.0,,,,
