@relation features_window_size_1000_extra_cols_False_walk

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute Activity {'outdoor walk','indoor walk'}

@data
1.378511,0.201061,-6.561109,0.270459,-6.150609,0.235005,'indoor walk'
1.153465,0.18469,-6.583674,0.273113,-6.175697,0.22815,'indoor walk'
1.182998,0.214502,-6.553187,0.270362,-6.196371,0.240046,'indoor walk'
1.235952,0.291978,-6.53126,0.316461,-6.198825,0.314761,'indoor walk'
-0.150047,0.602,-5.881952,1.762363,6.093267,4.715072,'indoor walk'
0.354058,1.399908,-5.745283,1.801804,5.107258,5.701312,'indoor walk'
-2.497395,2.215657,-8.667812,1.252701,1.793484,1.686174,'indoor walk'
-2.663819,0.419277,-8.780006,0.312865,2.890616,0.282588,'indoor walk'
-3.715643,0.502709,-8.376794,0.369955,3.053779,0.232569,'indoor walk'
-4.659739,0.397146,-7.953577,0.348737,3.063834,0.2195,'indoor walk'
-5.156438,0.397655,-7.598329,0.377533,3.267281,0.229838,'indoor walk'
-5.273546,0.331119,-7.539633,0.323124,3.267276,0.23617,'indoor walk'
-5.440229,0.593195,-7.394602,0.551718,3.262821,0.288698,'indoor walk'
-3.508278,3.125538,-7.791546,1.357733,2.019537,2.536065,'indoor walk'
0.917138,2.267786,-8.618668,1.057025,2.160377,2.458767,'indoor walk'
0.46622,0.984914,-2.545488,5.113367,6.060495,5.410122,'indoor walk'
-0.852658,2.302375,-6.109343,3.937915,2.022619,5.592146,'indoor walk'
-0.562254,0.345005,-9.354882,0.251619,0.616775,0.614174,'indoor walk'
-0.412549,0.280294,-9.32184,0.289001,1.549153,0.218647,'indoor walk'
-0.877514,0.410068,-9.221616,0.341492,2.112698,0.43767,'indoor walk'
-1.813838,1.398603,-8.951644,1.591877,0.999236,2.244632,'indoor walk'
-3.163435,1.637781,-7.55989,2.421207,1.5961,4.195661,'indoor walk'
-2.642687,1.766605,-6.835181,2.627493,3.375946,4.699433,'indoor walk'
-2.929166,1.432901,-8.065917,2.078401,1.390132,3.565148,'indoor walk'
-3.591268,0.828178,-7.917417,1.001991,-3.076573,1.460461,'indoor walk'
-2.532818,1.314689,-8.013998,1.630097,-1.086703,3.718507,'indoor walk'
-0.943296,0.785913,-8.744828,0.900471,-2.587073,1.535144,'indoor walk'
-2.438209,0.744042,-8.319718,1.586746,-1.107018,3.133746,'indoor walk'
-3.221104,1.177098,-7.750434,1.623466,0.528431,4.223423,'indoor walk'
-3.013056,1.294586,-5.418633,3.058353,4.265769,5.722286,'indoor walk'
-2.384519,1.674922,-7.085823,2.184071,0.364259,5.617387,'indoor walk'
-2.422887,2.394594,-7.805826,2.076869,-1.404644,3.689953,'indoor walk'
-3.284263,0.851789,-8.502768,0.772295,-1.26882,1.87354,'indoor walk'
-4.567948,4.267894,-6.612891,5.083434,1.521794,2.859752,'indoor walk'
-9.131825,0.199196,-3.631695,0.257218,0.432344,0.338581,'indoor walk'
-9.165527,0.216558,-3.570131,0.339277,0.74558,0.238758,'indoor walk'
-9.145734,0.217493,-3.625359,0.296874,0.729564,0.170135,'indoor walk'
-9.127964,0.231335,-3.639984,0.32251,0.801668,0.232342,'indoor walk'
-5.694754,4.927761,-5.135444,2.535366,2.223073,2.076568,'indoor walk'
-4.669062,2.62816,1.657364,4.384393,7.890424,1.705486,'indoor walk'
-4.932522,4.449527,-5.144064,3.817513,1.000045,3.82781,'indoor walk'
-9.358776,0.238086,-3.08111,0.299523,0.918664,0.291763,'indoor walk'
-9.296587,0.214036,-3.198513,0.270388,1.287319,0.266308,'indoor walk'
-3.008453,4.700793,-6.014498,2.303073,-0.746659,4.558716,'indoor walk'
3.254968,0.738103,-6.178292,1.942581,-4.583181,3.207376,'indoor walk'
-4.625009,2.984602,-6.874075,1.404026,0.30699,3.647344,'indoor walk'
-8.808943,0.513239,-4.093434,0.738574,1.509649,0.652415,'indoor walk'
-9.0442,0.220145,-3.805038,0.273935,0.94943,0.221519,'indoor walk'
-8.99371,0.849248,-3.631846,1.436036,1.480299,0.713854,'indoor walk'
1.224837,1.378041,-8.44944,0.898941,-2.426284,1.953404,'indoor walk'
-1.376215,3.666149,-7.183971,3.409676,-0.332811,3.863845,'indoor walk'
-0.554461,3.162446,-3.637775,3.700291,7.673853,3.035853,'indoor walk'
-1.335185,2.701438,-6.699777,2.387042,3.299647,5.108866,'indoor walk'
-3.352254,1.922843,-7.405594,1.459553,-3.835411,3.305268,'indoor walk'
-3.573824,1.749208,-6.9049,2.548712,-1.307169,4.875412,'indoor walk'
-1.990625,3.003414,-7.071308,3.219474,1.986883,4.662221,'indoor walk'
-5.214375,2.088122,-2.27356,3.080242,8.476459,1.699406,'indoor walk'
-3.429892,1.809965,-3.565243,2.558211,0.676471,8.172289,'indoor walk'
-2.650235,1.830682,-7.643611,1.574509,-3.758144,2.119906,'indoor walk'
-3.219571,1.72976,-7.316315,1.645416,-4.109264,2.669283,'indoor walk'
-3.483048,2.530766,-5.513002,4.462343,2.802973,4.920716,'indoor walk'
-7.973408,4.09624,-2.792657,2.674479,3.928366,3.468248,'indoor walk'
-4.458461,5.774681,-5.425518,2.889968,1.841568,3.849629,'indoor walk'
-9.378259,1.933786,-3.057083,1.249537,2.543196,1.458531,'indoor walk'
-8.220235,3.811591,-3.664351,2.503922,2.625992,1.669401,'indoor walk'
-8.752289,3.391177,-2.733381,2.838899,3.652201,3.390868,'indoor walk'
-9.861352,3.074247,-3.415166,2.159886,2.480518,2.017295,'indoor walk'
-9.39372,2.170397,-3.137226,1.082139,2.374746,1.429583,'indoor walk'
-9.467618,2.276228,-3.530447,1.318781,2.479371,1.492917,'indoor walk'
-9.848017,2.023656,-3.50899,1.430162,2.268735,1.672499,'indoor walk'
-9.321508,2.465025,-3.646366,1.934417,2.848363,1.986932,'indoor walk'
-9.457693,3.22061,-3.833121,2.322338,3.040352,2.129111,'indoor walk'
-9.456141,2.37156,-3.32553,1.53375,2.451485,1.88783,'indoor walk'
-9.253409,2.271228,-3.246318,1.363635,2.706891,1.314986,'indoor walk'
-9.257651,2.221239,-3.033547,0.981928,2.939655,1.336278,'indoor walk'
-9.506744,2.482637,-3.256412,1.212124,2.803932,1.715426,'indoor walk'
-9.187776,2.740531,-3.631811,1.925405,2.874332,1.569396,'indoor walk'
-8.717705,3.262739,-3.932856,2.275827,1.784546,2.126756,'indoor walk'
3.627711,2.278871,-7.431705,2.423897,2.518562,2.93763,'indoor walk'
-0.956577,8.328861,-3.783909,1.530008,3.907643,1.671709,'indoor walk'
-9.353712,1.638481,-2.991508,0.945784,2.592422,1.308901,'indoor walk'
-9.370739,2.122154,-3.140768,1.076025,2.484933,1.25627,'indoor walk'
-4.226945,4.200941,-5.647942,3.613758,3.219295,4.193544,'indoor walk'
-7.168848,3.320597,-5.008753,2.486212,1.717067,2.258037,'indoor walk'
-9.349348,1.838018,-3.246377,0.911025,2.633131,1.243679,'indoor walk'
-8.10248,2.928771,-3.15127,2.75465,3.395243,2.845525,'indoor walk'
-8.844019,2.833141,-3.360763,1.613469,1.071825,3.171662,'indoor walk'
-9.467812,1.929909,-2.866054,0.855794,2.142666,1.256579,'indoor walk'
-9.505126,1.938125,-2.684036,1.113018,2.421354,1.520241,'indoor walk'
-9.577133,2.162339,-2.631946,1.332588,2.752644,1.335645,'indoor walk'
-9.430191,1.980183,-2.775861,1.056227,2.649052,1.169602,'indoor walk'
-9.464163,2.049614,-2.62,1.106319,2.842767,1.312518,'indoor walk'
-9.506522,1.644621,-2.497259,1.098982,2.36671,1.496364,'indoor walk'
-9.313814,0.218108,-2.335096,0.231567,3.003158,0.515469,'indoor walk'
-9.255317,0.063538,-2.213008,0.20454,3.324151,0.186842,'indoor walk'
-9.289159,0.225891,-1.988097,0.311327,3.446316,0.446079,'indoor walk'
-9.338047,1.920606,-2.362282,1.120117,3.24767,1.195939,'indoor walk'
-9.550267,2.11132,-2.337144,1.207471,2.315289,1.571786,'indoor walk'
-9.609833,1.775156,-2.503923,1.230076,2.414296,1.672698,'indoor walk'
-9.425081,1.791018,-2.634995,1.012732,2.990315,1.491413,'indoor walk'
-9.467592,1.812471,-2.625715,1.042055,2.86492,1.319068,'indoor walk'
-9.574849,2.350426,-2.680394,1.386689,2.692115,1.51514,'indoor walk'
-9.35832,2.253084,-3.047068,1.594844,2.018671,2.01427,'indoor walk'
-9.419304,2.196561,-2.77004,1.23215,2.52457,1.517768,'indoor walk'
-9.569363,2.057693,-2.775799,1.485411,2.926755,1.56139,'indoor walk'
-9.340666,1.884474,-2.902756,1.235113,2.843324,1.299071,'indoor walk'
-9.467456,2.144653,-2.524688,1.240519,2.672398,1.604703,'indoor walk'
-9.357299,2.336618,-2.693341,1.435026,2.707771,1.623572,'indoor walk'
-9.427678,2.356078,-2.740452,1.361063,2.772804,1.389771,'indoor walk'
-9.502132,2.263458,-2.680666,1.283161,2.666831,1.563832,'indoor walk'
-9.517274,2.196741,-2.700788,1.739737,2.669185,1.87709,'indoor walk'
