@relation features_window_size_3000_extra_cols_True_walk

@attribute mean_x numeric
@attribute std_x numeric
@attribute mean_y numeric
@attribute std_y numeric
@attribute mean_z numeric
@attribute std_z numeric
@attribute median_x numeric
@attribute median_y numeric
@attribute median_z numeric
@attribute rms_x numeric
@attribute rms_y numeric
@attribute rms_z numeric
@attribute Activity {'outdoor walk','indoor walk'}

@data
-5.294634,6.137635,-5.608154,3.168614,2.906351,2.642357,-6.704258,-5.233716,2.85187,8.105782,6.44139,3.927967,'indoor walk'
-8.640711,3.965641,-4.43381,2.808283,2.864092,2.031748,-8.691525,-3.948789,2.863845,9.507271,5.248345,3.511556,'indoor walk'
-9.858477,2.28445,-3.474867,1.739401,2.77721,1.485025,-9.569301,-3.239264,2.733915,10.119698,3.8859,3.149316,'indoor walk'
-7.594842,6.439248,-3.275942,2.248387,2.831294,1.623256,-8.805289,-3.02491,2.759063,9.957186,3.973291,3.263616,'indoor walk'
-6.99398,7.082448,-3.406298,2.350492,2.711315,1.69422,-8.514893,-3.185376,2.699187,9.953734,4.13856,3.197125,'indoor walk'
-6.858431,7.028563,-3.496336,2.409741,2.693688,1.756562,-8.6077,-3.19795,2.651287,9.820325,4.246318,3.215815,'indoor walk'
-7.936231,1.233914,-4.977961,1.82105,1.938071,2.170524,-7.521559,-5.712122,2.767445,8.031582,5.300597,2.909861,'indoor walk'
-7.437088,0.174698,-5.855683,0.224219,2.782555,0.271969,-7.443721,-5.835465,2.782414,7.439139,5.859975,2.795815,'indoor walk'
-7.555816,0.211775,-5.714616,0.293802,2.773089,0.240538,-7.55449,-5.710924,2.799778,7.558784,5.722164,2.783502,'indoor walk'
-7.680203,0.20566,-5.523213,0.306954,2.867574,0.254281,-7.729926,-5.415738,2.902764,7.682956,5.531736,2.878826,'indoor walk'
-7.790074,0.099164,-5.323763,0.102414,3.0326,0.190415,-7.794591,-5.325326,3.040477,7.790706,5.324748,3.038572,'indoor walk'
-7.781856,0.119353,-5.293077,0.131264,3.122096,0.169076,-7.794591,-5.275031,3.118914,7.782772,5.294705,3.12667,'indoor walk'
-7.788555,0.118159,-5.24506,0.144091,3.204461,0.177985,-7.802974,-5.223537,3.209326,7.789451,5.247039,3.209401,'indoor walk'
-7.798799,0.117205,-5.187242,0.158708,3.297821,0.198775,-7.810159,-5.151687,3.294349,7.79968,5.189669,3.303806,'indoor walk'
-7.838157,0.101733,-5.085468,0.121729,3.400819,0.180143,-7.832313,-5.08762,3.40931,7.838817,5.086925,3.405587,'indoor walk'
-7.928577,0.315379,-4.907082,0.4635,3.441584,0.248671,-7.836504,-5.053491,3.473976,7.934847,4.928923,3.450556,'indoor walk'
-7.175383,2.121443,-5.296301,1.555661,3.452298,0.513143,-7.858059,-5.009183,3.499124,7.482422,5.520044,3.490226,'indoor walk'
-5.029285,3.27664,-6.690066,2.341771,3.036325,0.764008,-7.574848,-5.258864,3.266208,6.002506,7.08808,3.130971,'indoor walk'
-2.757354,2.65815,-8.239926,1.929746,2.482934,0.863792,-1.441802,-9.147179,2.200424,3.829982,8.462878,2.628896,'indoor walk'
-1.334603,0.185791,-9.245155,0.171754,1.885699,0.309367,-1.317261,-9.250763,1.833387,1.347473,9.24675,1.910908,'indoor walk'
-1.34728,0.180114,-9.264943,0.163164,1.751,0.202712,-1.335223,-9.269923,1.741179,1.359266,9.26638,1.762695,'indoor walk'
-2.48273,2.371293,-8.638934,1.571468,1.786888,0.626911,-1.472937,-9.212442,1.733994,3.433217,8.7807,1.89367,'indoor walk'
-0.418746,4.927617,-6.335807,4.552426,2.615403,1.93301,-1.464554,-8.983718,1.89446,4.945377,7.801732,3.252209,'indoor walk'
0.631303,5.033955,-5.532105,4.31206,3.877232,2.762209,1.339415,-7.156318,3.628455,5.073386,7.014132,4.760538,'indoor walk'
1.47287,5.165948,-4.615526,3.968994,5.098925,2.991017,2.525548,-5.124144,5.357659,5.371812,6.087364,5.911448,'indoor walk'
-3.242409,5.878393,-5.111697,1.950601,4.386864,3.114032,-1.320254,-4.740941,3.933819,6.713325,5.471224,5.379756,'indoor walk'
-6.910684,4.994889,-3.97666,1.241283,3.006217,2.8377,-8.604107,-3.818859,2.232158,8.526808,4.165886,4.133991,'indoor walk'
-9.300757,1.274543,-3.477178,0.90312,1.612367,1.160729,-9.268725,-3.270399,1.483715,9.38768,3.592546,1.986711,'indoor walk'
-9.293646,0.829851,-3.307036,0.58968,1.435413,0.838608,-9.255553,-3.281177,1.445394,9.330622,3.359198,1.66243,'indoor walk'
-9.247304,0.196977,-3.245573,0.33081,1.597057,0.49688,-9.240584,-3.301534,1.468746,9.249402,3.262389,1.672568,'indoor walk'
-9.219651,0.149867,-3.18878,0.394909,1.91402,0.506615,-9.22322,-3.281177,1.829795,9.220869,3.21314,1.979932,'indoor walk'
-9.192071,0.296953,-3.209436,0.470451,2.042444,0.565399,-9.206455,-3.271597,2.072889,9.196866,3.243732,2.119257,'indoor walk'
-7.042816,4.437686,-3.913976,1.728457,1.440903,2.945889,-9.160351,-3.308719,2.038162,8.324321,4.278641,3.2794,'indoor walk'
-3.027986,5.9056,-5.035729,1.923304,-1.188427,4.306155,-1.636996,-4.607419,0.676593,6.636626,5.390516,4.467139,'indoor walk'
1.072118,4.349256,-5.967111,1.636346,-3.67998,4.014097,2.517165,-6.248606,-5.292993,4.47945,6.18741,5.445661,'indoor walk'
3.017242,1.275995,-6.029872,1.047693,-5.866569,1.267578,3.056045,-6.109695,-6.003715,3.27596,6.120213,6.001949,'indoor walk'
2.927497,1.103349,-5.929623,1.056264,-6.063161,1.178063,2.62075,-5.986351,-6.210286,3.128516,6.022966,6.176549,'indoor walk'
2.112834,1.806421,-6.278931,1.655317,-4.535872,3.932843,2.369872,-6.148015,-6.040239,2.779788,6.493462,6.003448,'indoor walk'
0.623839,2.163407,-7.513773,1.938912,-1.962277,4.371088,1.493893,-8.068222,0.074246,2.251556,7.759908,4.791341,'indoor walk'
-1.623126,2.654746,-8.181004,1.642385,1.056956,3.437383,-1.730402,-8.602311,2.083068,3.111626,8.344235,3.596214,'indoor walk'
-3.732755,2.100254,-8.136006,1.144213,2.653939,1.316612,-4.802613,-7.993378,3.33267,4.283051,8.216071,2.962577,'indoor walk'
-5.10178,1.221622,-7.420131,0.821803,3.558886,0.775995,-5.462441,-7.216793,3.756588,5.246,7.465501,3.642504,'indoor walk'
-5.467872,0.372348,-7.156765,0.331687,3.921211,0.26671,-5.482798,-7.135362,3.921845,5.480535,7.164447,3.930271,'indoor walk'
-6.21264,1.612271,-6.274708,1.812598,3.575901,0.918189,-5.563631,-7.01142,3.926036,6.418436,6.531269,3.691902,'indoor walk'
-6.194568,2.904063,-5.880029,2.380654,3.078754,1.182296,-5.671406,-6.878496,3.593128,6.84151,6.343678,3.297962,'indoor walk'
-3.734072,5.433572,-4.710363,4.379565,3.247806,1.765173,-5.2415,-5.606741,3.195555,6.592951,6.431804,3.696496,'indoor walk'
-2.832453,5.94958,-4.102336,4.910461,3.474965,1.929938,-1.318458,-4.62119,3.215314,6.589408,6.398577,3.974926,'indoor walk'
-3.704272,5.977674,-3.680594,4.522262,3.797564,1.711779,-7.531139,-4.487668,3.584147,7.03237,5.830748,4.165535,'indoor walk'
-7.079784,3.855571,-3.935923,2.567214,3.584296,1.168185,-8.079598,-4.479285,3.666775,8.061561,4.699157,3.769859,'indoor walk'
-8.11304,0.408826,-4.481332,0.548199,3.670199,0.440139,-8.110135,-4.458329,3.729045,8.123334,4.514738,3.696496,'indoor walk'
-8.241685,0.202998,-4.287042,0.245424,3.677648,0.268379,-8.225695,-4.324208,3.671565,8.244185,4.294061,3.687427,'indoor walk'
-8.347524,0.191327,-4.14369,0.265932,3.611382,0.270862,-8.381371,-4.099076,3.609294,8.349716,4.152215,3.621526,'indoor walk'
-8.463869,0.338991,-3.925662,0.477645,3.588213,0.315054,-8.455616,-3.987708,3.586542,8.470655,3.954614,3.602017,'indoor walk'
-8.6402,0.408057,-3.481627,0.712911,3.657143,0.331029,-8.687933,-3.536845,3.666775,8.649831,3.553867,3.672094,'indoor walk'
-8.835903,0.357929,-2.9926,0.606336,3.727805,0.329383,-8.895103,-2.697989,3.732638,8.84315,3.053408,3.742329,'indoor walk'
-8.97679,0.130271,-2.614186,0.170522,3.791731,0.263254,-8.981922,-2.590213,3.790119,8.977735,2.619742,3.800859,'indoor walk'
-9.053089,0.220023,-2.077777,0.848882,3.935366,0.32943,-9.025631,-2.499203,3.927832,9.055762,2.244495,3.94913,'indoor walk'
-9.122736,0.214484,-1.37493,0.982593,4.158228,0.406908,-9.111852,-0.784369,4.200266,9.125257,1.689947,4.178089,'indoor walk'
-8.682407,2.410566,-1.121436,1.78375,4.180425,1.327498,-9.171128,-0.576002,4.33259,9.010828,2.106985,4.386138,'indoor walk'
-6.443464,3.809918,-3.085493,3.778893,2.691477,3.739496,-8.911868,-0.767604,4.231401,7.485566,4.878555,4.607372,'indoor walk'
