@relation tmpv34f85xp

@attribute 146417812 numeric
@attribute -0.0371228 numeric
@attribute -6.4102697 numeric
@attribute 7.4556956 numeric

@data
146422412,1.326841,-4.089496,-2.639312
146422422,2.331552,-7.017407,0.310155
146422432,2.354304,-9.989627,0.92807
146422442,1.035846,-9.351354,-1.201102
146422452,-0.118553,-6.706055,-3.899092
146422462,-0.89454,-5.641469,-5.100194
146422472,-0.819097,-6.359974,-4.350553
146422482,-0.965193,-7.460486,-5.037924
146422492,-2.083667,-7.220984,-6.907236
146422502,-3.0297,-5.8187,-9.402846
146422512,-2.869233,-7.497609,-11.65177
146422522,-1.082549,-8.999286,-11.299702
146422532,0.409548,-5.173242,-9.804012
146422542,-1.161585,-2.10642,-9.717792
146422552,-2.538721,-1.723216,-8.841214
146422562,-2.971022,-2.914739,-6.327642
146422572,-1.792672,-3.872746,-7.117998
146422582,-0.838257,-4.796027,-7.259304
146422592,-0.935255,-3.71707,-6.423442
146422602,-1.199905,-2.706372,-6.883286
146422612,-0.486189,-2.927911,-7.373068
146422622,0.02395,-4.139792,-7.30002
146422632,-0.215552,-5.398374,-7.052135
146422642,-0.689766,-6.692882,-6.012697
146422652,-1.317261,-7.613767,-5.900131
146422662,-1.961521,-8.897497,-6.642587
146422672,-3.065625,-9.574091,-6.928791
146422682,-3.362608,-8.723859,-7.99697
146422692,-3.841611,-7.71795,-9.193282
146422702,-3.848796,-6.841373,-9.627978
146422712,-1.601071,-6.45338,-7.313192
146422722,-0.235909,-8.234077,-7.644902
146422732,2.022594,-8.551417,-5.84265
146422742,3.093168,-6.836583,-2.683619
146422752,1.810635,-7.792196,-2.790198
146422762,0.868195,-9.018446,-1.986669
146422771,-0.101788,-9.366921,-2.846481
146422781,-0.511337,-8.174202,-4.014053
146422791,-0.160466,-6.804251,-4.237987
146422801,0.609533,-5.731282,-4.311035
146422820,1.526825,-6.562354,-3.855981
146422830,1.565145,-8.338261,-4.173322
146422840,0.153281,-8.143066,-4.757706
146422850,-1.8753,-3.63085,-4.596043
146422860,-0.892145,-2.272874,-7.726333
146422870,2.380649,-2.997367,-9.647139
146422880,1.797462,-4.399651,-9.504635
146422890,-1.114882,-6.000722,-9.363329
146422900,-3.860771,-3.907474,-5.304968
146422910,-4.628375,-4.097879,-6.562354
146422920,-3.176993,-4.101471,-6.369554
146422930,-1.757944,-4.022435,-5.368436
146422940,-0.559237,-4.720583,-5.748047
146422950,0.397573,-5.361251,-6.163583
146422960,0.186812,-6.446195,-6.902446
146422970,-1.049019,-7.735913,-7.127578
146422980,-2.121987,-8.286768,-7.764653
146422990,-2.642904,-7.946675,-8.55501
146423000,-2.974614,-7.214996,-8.722661
146423010,-3.05365,-6.41506,-7.539522
146423020,-2.215393,-5.973179,-5.933661
146423030,-2.030976,-6.078559,-3.877537
146423040,-2.145937,-5.916896,-2.951862
146423050,-1.550775,-6.747968,-4.245172
146423060,-0.313748,-8.921448,-5.734874
146423070,-0.535287,-10.888956,-6.168373
146423080,-1.389111,-10.438693,-5.688171
146423090,-1.787882,-9.423204,-6.543193
146423100,-1.459764,-8.946595,-6.241421
146423110,-0.661025,-8.674761,-5.381609
146423120,-0.095801,-9.402846,-6.1552
146423130,0.998723,-9.178912,-6.840176
146423140,1.272953,-6.597081,-4.702621
146423150,-0.295785,-5.671406,-3.629652
146423160,-1.156794,-6.847361,-2.634521
146423169,-1.086141,-9.613608,-2.494413
146423179,-0.762814,-10.826686,-2.375859
146423189,-1.082549,-10.523716,-2.924319
146423199,-1.172362,-9.681867,-4.5685
146423209,-0.97597,-6.983877,-4.669091
146423219,-1.385519,-4.972061,-5.686974
146423229,-1.735192,-4.509822,-4.301455
146423239,-2.432142,-5.835465,-1.471739
146423249,-2.039359,-9.362131,1.698069
146423259,-0.144899,-11.91163,3.870352
146423269,0.645458,-12.064911,4.211642
146423279,0.484991,-10.75244,3.411705
146423289,-0.150886,-11.910432,0.90412
146423299,-0.546064,-13.140275,0.292192
146423309,-0.159269,-10.563233,0.628693
146423319,0.080233,-6.878496,1.020278
146423329,0.94244,-7.694,0.476609
146423339,1.419049,-5.44388,0.420326
146423349,1.265768,-7.800579,0.561632
146423359,0.347278,-9.005274,-0.26465
146423369,-1.937571,-9.46871,-1.616638
146423379,-2.436932,-11.834989,-3.671565
146423389,-2.381847,-13.038486,-2.090852
146423399,-2.238146,-12.148737,-2.864443
146423409,-0.136516,-9.794433,-2.177073
146423419,-0.141306,-8.335865,-4.060756
146423429,-0.998723,-7.224577,-5.204378
146423439,-3.781736,-6.666537,-6.292914
146423449,-5.071454,-7.935897,-9.681867
146423459,-4.813989,-6.187533,-9.023236
146423469,-2.725532,-3.914659,-8.116721
146423479,-0.9616,-3.329077,-6.430627
146423489,-0.409548,-5.206772,-4.733756
146423499,-0.270637,-7.420968,-3.0776
146423509,-0.799937,-7.831714,-2.278861
146423519,-1.969904,-7.728728,-2.296824
146423529,-2.997367,-7.628137,-2.921924
146423539,-3.767366,-6.704857,-3.834426
146423549,-4.277505,-4.92416,-6.78509
146423559,-3.906277,-4.533772,-7.677235
146423569,-2.75068,-5.332511,-8.520282
146423578,-1.360371,-4.732559,-10.130933
146423588,-0.476609,-5.455854,-10.437495
146423598,-0.083826,-6.142027,-10.403965
146423608,0.711321,-9.412427,-8.359816
146423618,0.334105,-9.303453,-1.442999
146423628,0.598755,-11.493699,1.601071
146423638,1.393901,-14.129417,3.776946
146423648,1.403482,-15.462246,2.133962
146423658,1.923201,-13.054054,1.941163
146423668,1.555565,-12.469669,-0.190404
146423678,-0.005988,-11.478131,-0.34608
146423688,-2.518363,-10.873388,-2.300416
146423698,-3.525469,-10.368039,-5.606741
146423708,-2.233356,-10.647059,-8.873548
146423718,0.186812,-11.03625,-9.601633
146423728,2.084865,-11.534414,-8.528665
146423738,2.971022,-12.066109,-7.238946
146423748,1.284928,-7.692803,-6.530021
146423758,-2.390229,-2.703977,-9.905801
146423768,-3.992497,0.397573,-9.86748
146423778,-4.181704,1.177152,-7.430548
146423788,-3.124303,-2.086062,-7.291637
146423798,-1.944756,-5.80433,-7.04974
146423808,-1.480122,-4.773274,-8.880733
146423818,-0.840652,-2.884801,-9.134604
146423828,-1.772314,-4.708609,-10.097403
146423838,-1.25978,-5.964796,-5.391189
146423848,-0.56283,-7.122788,-4.028423
146423858,-0.059875,-9.001681,-6.109695
146423868,-0.05269,-9.29028,-5.252278
146423878,-0.850232,-8.728649,-3.174599
146423888,-1.838177,-9.407637,-5.004393
146423898,-2.553091,-10.162067,-3.905079
146423908,-1.713637,-10.200388,-2.204616
146423918,-2.977009,-8.794512,-3.159031
146423928,-3.242856,-8.305927,-3.913462
146423938,-2.930306,-8.337063,-1.944756
146423948,-3.01054,-9.539363,-0.101788
146423958,-2.724335,-11.122471,0.675396
146423968,-3.63564,-12.237352,0.228724
146423978,-2.863246,-13.036091,-0.999921
146423988,-1.253793,-11.496094,-0.643063
146423998,-0.583187,-9.285491,-1.26936
146424007,-0.253872,-8.452023,-2.875221
146424017,-0.55325,-8.137079,-3.592529
146424027,-1.134042,-8.454419,-4.809199
146424037,-1.146017,-8.134684,-5.337301
146424047,-0.548459,-8.432864,-6.416257
146424057,0.366438,-8.20414,-5.938451
146424067,1.282533,-8.708291,-5.527705
146424077,1.748364,-8.111931,-2.979404
146424087,1.651366,-8.121511,-1.407074
146424097,2.080074,-6.763535,1.996249
146424107,1.304088,-3.685935,6.322852
146424117,-1.459764,-3.780538,6.350394
146424127,-2.478845,-5.691764,3.083588
146424137,-2.360292,-6.846163,0.524509
146424147,-1.53401,-6.447393,-1.335223
146424157,-0.61552,-6.16478,-3.37099
146424167,-0.096998,-6.926396,-5.54447
146424177,1.119672,-8.047266,-4.96248
146424187,2.301614,-8.199349,-2.969824
146424197,2.503993,-11.855347,-0.324525
146424207,0.641865,-15.434704,5.683382
146424217,-3.291954,-16.881294,2.022594
146424227,-7.370673,-15.152091,-5.107379
146424237,-8.590935,-10.979967,-7.808961
146424247,-6.277346,-8.619676,-12.745096
146424257,-2.191443,-6.903644,-13.49833
146424267,0.720901,-2.228566,-10.839858
146424277,0.664618,-3.426076,-13.967754
146424287,0.408351,-4.912185,-9.305848
146424297,-1.755549,-6.180348,-5.795947
146424307,-2.578238,-6.515651,-5.283413
146424317,-1.597478,-5.463039,-4.464316
146424327,-1.433419,-6.302494,-4.974455
146424337,-1.163979,-7.259304,-5.783972
146424347,-1.144819,-7.04974,-7.430548
146424357,-0.92807,-6.514453,-9.983639
